DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY_ADJ$§W ответ: §Y$ODDS$§W;;§Y$COUNTRY$§Ws Antwort: §Y$ODDS$§W;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_HULL;Сократился благодаря прочности корпуса противника (§R$HULL$§!): §R$VAL$%§!;;Durch gegnerischen Rumpf (§R$HULL$§!) reduziert um: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_EXP;Сократился благодаря опыту оппонента (§R$EXP$%§!): §R$VAL$%§!;;Durch gegnerische Erfahrung (§R$EXP$%§!) reduziert um: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_NOORG;Противник дезорганизован: §Y$VAL$%§!;;Gegner besitzt keine Organisation: §Y$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_DAMAGE_DESC_STR;Сократился благодаря нашей силе: §R$VAL$%§!;;Durch unsere Stдrke reduziert: §R$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_HIT_CHANCE_DESC;Шанс попадания: §Y$VAL$%§!;;Trefferchance: §Y$VAL$%§!;;;;;;;;x;;;
NAVAL_COMBAT_HIT_CHANCE_DESC_EVA;(сократился за счет уклонения противника §R$VAL$%§!);;(Durch gegnerische Ausweichrate §R$VAL$%§! reduziert);;;;;;;;x;;;
MOBILIZATION_PROGRESS_PAUSED;В провинции §Y$PROV$§! Скоро начнется мобилизация.;;Rekrutierungs-Mobilisierung in §Y$PROV$§! beginnt in Kьrze.;;;;;;;;x;;;
MOBILIZATION_PROGRESS_PENDING;Текущий прогресс мобилизации: §Y$PROG$%§!;;Aktueller Mobilisierungsfortschritt: §Y$PROG$%§!;;;;;;;;x;;;
MOBILIZATION_PROGRESS_NOT_MOBILIZED;Мобилизация займет некоторое время, но развитая сеть железных дорог ускорит процесс.;;Die Mobilisierung wird einige Zeit in Anspruch nehmen, doch ein Ausbau des Schienennetzwerks wird den Prozess beschleunigen.;;;;;;;;x;;;
COLONY_ADD_INFLUENCE;Расширить колониальное влияние;;Kolonialen Einfluss hinzufьgen;;;;;;;;x;;;
EVTNAME20100;Напряжение, связанное с регионом $STATE$;;Spannungen in $STATE$;;;;;;;;x;;;
EVTDESC20100;В последние годы международное сообщество предъявляет нам все больше претензий по поводу положения людей в регионе $STATE$. Они утверждают, что мы давно их угнетали и притесняли, и теперь они хотят стать свободными от нашей власти. Конечно, мы не потерпим вмешательства в наши внутренние дела и в дела региона $STATE$.;;Vor Kurzem wurde die internationale Gemeinschaft zunehmend auf das angebliche Flehen der armen, unterdrьckten Bevцlkerung in $STATE$ aufmerksam. Es wird behauptet, dass wir sie seit langem unterdrьcken und dass sie die Befreiung von unserer wohlwollenden Herrschaft herbeisehnen. Wir werden natьrlich keine Stцrung unserer Herrschaft in $STATE$ tolerieren.;;;;;;;;x;;;
EVTOPTA20100;Конечно не потерпим!;;Natьrlich nicht!;;;;;;;;x;;;
EVTOPTB20100;Возможно нам стоит обсудить это...;;Vielleicht sollten wir darьber reden…;;;;;;;;x;;;
EVTNAME20101;Напряжение, связанное с регионом $STATE$;;Spannungen in $STATE$;;;;;;;;x;;;
EVTDESC20101;В последние годы международное сообщество предъявляет нам все больше претензий по поводу положения людей в регионе $STATE$. Они утверждают, что мы не имеем законного права на власть в этой области, а ближайшие Великие Державы уже начинают строить планы относительно этих земель. ;;Vor Kurzem wurde die internationale Gemeinschaft zunehmend auf das angebliche Flehen der armen, unterdrьckten Bevцlkerung in $STATE$ aufmerksam. Es wird behauptet, dass wir kein Recht zur Herrschaft in dieser Gegend hдtten und benachbarte GroЯmдchte beginnen, ihr Interesse an diesen Behauptungen zu zeigen;;;;;;;;x;;;
EVTOPTA20101;Регион $STATE$ наш!;;Besteht darauf, dass $STATE$ uns gehцrt!;;;;;;;;x;;;
EVTOPTB20101;Выслушать их точку зрения;;Rдumt ihren Anspruch ein.;;;;;;;;x;;;
EVTNAME20102;$CRISISAREA$ кризис;;Der $CRISISAREA$ Konflikt;;;;;;;;x;;;
EVTDESC20102;Спор вокруг региона $CRISISAREA$ перерос в международный кризис. $CRISISTAKER$ провозгласила эту землю неотъемлемой своей частью, в то время как $CRISISTARGET$ настаивает на том, что регион должен оставаться под их контролем. На недавней конференции, посвященной этому вопросу наш посол сделал несколько довольно воинственных выпадов, что значительно повысило градус напряжения между участниками.\nХотите, чтобы мы поддержали его позицию или принесли извенения и тем самым немного разрядили обстановку?;;Der Disput ьber $CRISISAREA$ ist zu einem internationalen Konflikt eskaliert. $CRISISTAKER$ beansprucht die Gegend als einen integralen Bestandteil ihrer Nation, wдhrend $CRISISTARGET$ diesen Anspruch verneint und darauf besteht, dass das Land unter ihrer Kontrolle verbleiben sollte. In einer kьrzlichen Konferenz zu dieser Angelegenheit machte unser Botschafter einige recht militante Bemerkungen, die die Stimmung aller Anwesenden aufheizte.\nSollten wir seine Position unterstьtzen, oder uns fьr sein Handeln entschuldigen und uns von seinen ДuЯerungen distanzieren?;;;;;;;;x;;;
EVTOPTA20102;Он совершенно прав, только война решит этот спор!;;Er hat absolut recht, Krieg ist die einzige Lцsung!;;;;;;;;x;;;
EVTOPTB20102;Не слушайте его!;;Hцrt nicht auf ihn!;;;;;;;;x;;;
EVTNAME20103;Судьба державы $CRISISTAKER$;;Das Schicksal von $CRISISTAKER$;;;;;;;;x;;;
EVTDESC20103;Судьба $CRISISTAKER_ADJ$ народа сейчас волнует многие умы цивилизованного мира. В то время как $CRISISTARGET$ в настоящее время контролирует спорный регион, $CRISISTAKER_ADJ$ повстанцы и патриоты делают значительные усилия, чтобы освободиться от $ CRISISTARGET_ADJ $ власти. Как великая держава, мы, конечно, направили посла, чтобы обсудить судьбу державы $CRISISTAKER$, но к сожалению, на последней встрече он оказался  более пьяным, чем обычно, и заявил, что мы готовы к решению вопроса, а если другие делегаты не последуют нашему примеру, он устроит им темную. Естественно, после этого ситуация обострилась, хотя мы все еще можем отступить, осудив его действия, но тем самым поставив себя в неловкое положение.;;Das Schicksal des $CRISISTAKER_ADJ$en Volkes weitete sich vor Kurzem zu einem internationalen Konflikt aus. Zur Zeit kontrolliert $CRISISTARGET$ die Gegend und die $CRISISTAKER_ADJ$en Rebellen und Patrioten bemьhen sich verzweifelt, sich von der $CRISISTARGET_ADJ$en Herrschaft zu befreien. Als GroЯmacht haben wir natьrlich einen Botschafter entsandt, um das Schicksal von $CRISISTAKER$ zu diskutieren, leider hat dieser beim letzten Gipfeltreffen, betrunkener als fьr gewцhnlich, behauptet, dass wir darauf vorbereitet sind, dieses Problem zu beseitigen, indem er allen anderen Teilnehmern Prьgel androhte, wenn sie nicht auf unserer Seite wдren. Natьrlich sich die Situation dadurch zugespitzt, doch wir kцnnen noch zurьckrudern und uns von ihm distanzieren, auch wenn das sehr beschдmend wдre.;;;;;;;;x;;;
EVTOPTA20103;Где моя сабля?;;Lasst unsere Sдbel rasseln!;;;;;;;;x;;;
EVTOPTB20103;Выгнать дурака!;;Entlasst diesen Narren!;;;;;;;;x;;;
EVTNAME20104;Кризис вокруг региона $CRISISAREA$ ;;Der $CRISISAREA$ Konflikt;;;;;;;;x;;;
EVTDESC20104;Спор вокруг региона $CRISISAREA$ перерос в международный кризис. Все Великие Державы определились с тем, на чьей они стороне. Ставки как никогда высоки... Стоит ли нам выставить свои требования, или лучше попытаться смягчить противоречия?;;Der Disput ьber $CRISISAREA$ ist zu einem nationalen Konflikt eskaliert. GroЯmдchte beziehen Stellung und es steht nun deutlich mehr auf dem Spiel. Sollten wir unsere Ansprьche mit Nachdruck einfordern oder versuchen, die Situation zu beruhigen?;;;;;;;;x;;;
EVTOPTA20104;Время переговоров прошло!;;Es gehцrt uns!;;;;;;;;x;;;
EVTOPTB20104;Мы открыты для переговоров.;;Wir sind offen fьr Diskussionen.;;;;;;;;x;;;
EVTNAME20105;Кризис вокруг региона $CRISISAREA$ ;;Der $CRISISAREA$ Konflikt;;;;;;;;x;;;
EVTDESC20105;$CRISISTAKER_ADJ$ повстанцы пытаются выйти из состава нашей страны и обрести независимость, а держава $CRISISATTACKER$ активно их поддерживает, мы надеемся, что $CRISISDEFENDER$ сможет оказать нам поддержку в этом вопросе. Как поступить нашему послу в державе $CRISISDEFENDER$ ? Потребовать решить конфликт силовым методом или намекнуть, что мы открыты для переговоров?;;Die  $CRISISTAKER_ADJ$en Rebellen kдmpfen, um sich von unserer Nation zu befreien, und $CRISISATTACKER$ unterstьtzt sie. Wir kцnnen nur hoffen, dass die Streitmдchte von $CRISISDEFENDER$ uns in unserer Sache unterstьtzen kцnnen. Sollte unser Botschafter $CRISISDEFENDER$ um deren absoluten Rьckhalt bitten, oder sollten wir andeuten, dass wir einem verhandelten Vergleich nicht im Wege stehen.;;;;;;;;x;;;
EVTOPTA20105;Предъявите им наши претензии!;;Besteht auf unserem Anspruch!;;;;;;;;x;;;
EVTOPTB20105;Давайте не будем из-за этого лесть в драку.;;Lasst uns nicht deswegen kдmpfen.;;;;;;;;x;;;
COLONIZE_PHASE_INTEREST;Заинтересоваться колонией;;Interesse etablieren;;;;;;;;x;;;
COLONIZE_PHASE_INTEREST_DESC;Конкурировать с влиянием колониальной власти. Если кто-то достигнет уровня $LEVELS$, первые две державы переходят на следующий этап колониальной гонки.;;Investiert in den Wettstreit Kolonialmacht. Die zwei besten Lдnder treten in die nдchste Phase des Wettstreits ein, sobald jemand $LEVELS$ Stufen Vorsprung hat.;;;;;;;;x;;;
COLONIZE_PHASE_INFLUENCE;Колониальная гонка;;Einfluss sichern;;;;;;;;x;;;
COLONIZE_PHASE_INFLUENCE_DESC;Колониальная гонка между двумя державами будет продолжаться до тех пор, пока одна из них не сочтёт этот проект слишком затратным. До тех пор, пока продолжается гонка, напряжённость в регионе будет расти и в итоге это может привести к международному кризису.;;Zwei Lдnder wettstreiten mit Einsatz von Kolonialmacht, bis eine Seite dem Einfluss nichts mehr entgegenzusetzen hat. Mit jeder Investition steigt die Spannung im Staat und wenn die Stimmung zu sehr hochkocht, bricht ein Konflikt aus.;;;;;;;;x;;;
COLONIZE_PHASE_COLONIZATION;Колонизация;;Kolonisierung;;;;;;;;x;;;
COLONIZE_PHASE_COLONIZATION_DESC;У победителя предыдущих этапов есть $MONTHS$ месяцев, чтобы преобразовать колонию или потерять ее;;Der Gewinner der vorhergehenden Phasen hat  $MONTHS$ Monate, um eine Kolonie zu konvertieren, oder er verliert alle Investitionen.;;;;;;;;x;;;
TICKING_WARSCORE_DESC_GRACE;$VAL$ (Осталось §Y$DAY$§! дней).;;$VAL$ (§Y$DAY$§! Tag(e) verbleiben).;;;;;;;;x;;;
TICKING_WARSCORE_DESC_GRACE_EXPLAIN;Если регион, являющийся целью войны, захвачен как минимум на §G$MIN$%§!, военный счет напавшей стороны будет постепенно пополняться. \n Если такой регион не будет захвачен §Yв течение $DAYS$ дней§!, то увеличиваться будет счет обороняющейся стороны. В случае, если регион сначала был захвачен, а потом освобожден, военный счет будет постепенно падать до §Y0§!.;;Territoriale Kriegsziele, die wenigstens zu §G$MIN$%§! erfьllt sind, geben dem Anspruchsteller mit der Zeit Kriegspunkte.\nWenn ein Kriegsziel nach einer §YFrist von $DAYS$ Tag(en)§! nicht erfьllt ist, so erhдlt der Besitzer Kriegspunkte. Ein vom Anspruchssteller besetztes und vom Besitzer zurьckerobertes Ziel wird auf beiden Seiten schrittweise die Punkte auf §Y0§! zurьcksetzen.;;;;;;;;x;;;
TICKING_WARSCORE_FULFILL_TERRITORY_WG;§GВыполнено, когда оккупировано по крайней мере $MIN$% провинций из региона, который является нашей военной целью.§!;;§GIst erfьllt, wenn mindestens $MIN$% der Provinzen der Zielstaaten dieses Kriegsziels eingenommen wurden.§!;;;;;;;;x;;;
TICKING_WARSCORE_FULFILL_TERRITORY_ANY;§GВыполнено, когда оккупировано по крайней мере $MIN$% провинций, принадлежащих нации, являющейся нашей военной целью.§!;;§GIst erfьllt, wenn mindestens $MIN$% der Provinzen im Besitz der Zielnation eingenommen wurden.§!;;;;;;;;x;;;
TICKING_WARSCORE_FULFILL_BATTLE;§GВыполнено, когда по крайней мере §G$BAT$§! военных очков от сражений в Мировой войне.§!;;§GIst erfьllt, wenn wir einen hцhere Kriegswertung durch Gefechte bekommen, sobald mindestens §G$BAT$§! gekдmpft wurden.§!;;;;;;;;x;;;
CREATE_PROTECTORATE;Установить протекторат;;Protektorat erstellen;;;;;;;;x;;;
JAN;Ян-Майен;Jan Mayen;Jan Mayen;;Jan Mayen;;;;;;;x;;
JAN_ADJ;Ян-Майенск.;Jan Mayen;Jan Mayen;;Jan Mayen;;;;;;;x;;
JAN_liberal;Венстре;Venstre;Venstre;;Venstre;;;;;;;;;x
JAN_conservative;Консервативная партия;Hшyre;Hшyre;;Hшyre;;;;;;;;;x
JAN_socialist;Рабочая партия;Arbeiderparti;Arbeiderparti;;Arbeiderparti;;;;;;;;;x
JAN_anarcho_liberal;Радикальная партия;Radicaux;Radikale;;Radicales;;;;;;;;;x
JAN_communist;Коммунистическая партия;Communistes;Kommunisten;;Comunistas;;;;;;;;;x
JAN_fascist;Национальное единение;Nasjonal Samling;Nasjonal Samling;;Nasjonal Samling;;;;;;;;;x
COUNTRYALERT_NO_Colonial;Ни одна из наших колоний не требует внимания;;Nichts in unseren Kolonien bedarf unserer Aufmerksamkeit.;;;;;;;;x;;;
COUNTRYALERT_NO_Crisis;В данный момент нет кризисов.;;Kein aktueller Konflikt.;;;;;;;;x;;;
COUNTRYALERT_Crisis;Текущий уровень напряженности §Y$TEMPERATURE$§!;;Aktuelle Konflikttemperatur: §Y$TEMPERATURE$§!;;;;;;;;x;;;
HAS_GOODS_IN_STATE;Производство товара $GOODS$ в регионе.;;Produziert $GOODS$ im Staat.;;;;;;;;x;;;
HAS_NO_GOODS_IN_STATE;Нет производства товара $GOODS$ в регионе.;;Produziert kein(e) $GOODS$ im Staat.;;;;;;;;x;;;
MILITARY_MOBILIZE_CRISIS_IMPACT;§RМобилизация в державе, которая является одной из сторон в кризисе может вовысить напряженность и привести к войне§!;;§RWдhrend man sich auf einer Seite in einem Konflikt befindet, wird die Mobilisierung die Temperatur erhцhen und zum Krieg fьhren!§!;;;;;;;;x;;;
NORMAL_WAR_LIBERATE_NAME;$ORDER$$FIRST$ Война за $COUNTRY_ADJ$ свободу;$ORDER$$FIRST$ guerre de libйration $COUNTRY_ADJ$;$ORDER$$FIRST$-$COUNTRY_ADJ$er Freiheitskrieg;;$ORDER$ Guerra $FIRST$ de liberaciуn $COUNTRY_ADJ$;;;;;;;;;x
AGRESSION_WAR_LIBERATE_NAME;$ORDER$$FIRST$ Война за $COUNTRY_ADJ$ освобождение;;$ORDER$$FIRST$-$COUNTRY_ADJ$er Befreiungskrieg;;;;;;;;x;;;
CANT_COLONIZE;§RНе удается колонизировать:§!;;§RKolonisierung nicht mцglich:§!;;;;;;;;x;;;
COLONIZE_LAST_INVESTMENT;Мы только что вложились в эту область. Следующую партию инвестиций можно отправить после §Y$DATE$§!;;Wir haben gerade erst in diese Gegend investiert. Nдchste Investition mцglich nach §Y$DATE$§! ;;;;;;;;x;;;
COLONY_INVEST_COST;Стоимость инвестиций: §Y$COST$§! колониальных очков;;Investitionskosten: §Y$COST$§! Kolonialmacht;;;;;;;;x;;;
COLONY_INVEST_COST_LACK;Стоимость инвестиций: §R$COST$§! колониальных очков;;Investitionskosten: §R$COST$§! Kolonialmacht;;;;;;;;x;;;
COLONIAL_INVESTMENT;В настоящее время инвестировано: §R$VALUE$§!;;Aktuell investiert: §R$VALUE$§!;;;;;;;;x;;;
COLONIAL_MAINTENANCE;Содержание колоний: §R$VALUE$§!;;Durch Versorgung gebundene Kolonialmacht: §R$VALUE$§!;;;;;;;;x;;;
AVAILABLE_COLONIAL_POWER;Доступно: §Y$VALUE$§!;;Verfьgbar: §Y$VALUE$§!;;;;;;;;x;;;
PW_PROTECTORATE;Протекторат;;Protektorat;;;;;;;;x;;;
D01;Королевство $REGION$;;Das Kцnigreich von $REGION$;;;;;;;;x;;;
D01_ADJ;Королевск.;;kцnigstreu;;;;;;;;x;;;
D02;Конфедерация $REGION$;;Die Konfцderation von $REGION$;;;;;;;;x;;;
D02_ADJ;Конфедеративн.;;konfцderiert;;;;;;;;x;;;
D03;Содружество $REGION$;;Commonwealth von $REGION$;;;;;;;;x;;;
D03_ADJ;Объединенн.;;Commonwealth-;;;;;;;;x;;;
D04;Республика $REGION$;;Die Republik von $REGION$;;;;;;;;x;;;
D04_ADJ;Республиканск.;;republikanisch;;;;;;;;x;;;
D05;Федеративная Республика $REGION$;;Der $REGION$-Staat;;;;;;;;x;;;
D05_ADJ;Республиканск.;;staatlich;;;;;;;;x;;;
D06;Народная Республика $REGION$;;Die Volksrepublik von $REGION$;;;;;;;;x;;;
D06_ADJ;Республиканск.;;republikanisch;;;;;;;;x;;;
D07;Свободное Государство $REGION$;;Der Freistaat von $REGION$;;;;;;;;x;;;
D07_ADJ;Республиканск.;;freistaatlich;;;;;;;;x;;;
D08;Свободная Республика $REGION$;;Der GroЯstaat von $REGION$;;;;;;;;x;;;
D08_ADJ;Республиканск.;;groЯstaatlich;;;;;;;;x;;;
D09;Государство $REGION$;;Der Staat von $REGION$;;;;;;;;x;;;
D09_ADJ;Республиканск.;;staatlich;;;;;;;;x;;;
D10;Княжество $REGION$;;Das Fьrstentum von $REGION$;;;;;;;;x;;;
D10_ADJ;Княжеск.;;fьrstlich;;;;;;;;x;;;
D11;Демократическая Республика $REGION$;;Die Demokratische Republik von $REGION$;;;;;;;;x;;;
D11_ADJ;Республиканск.;;depublikanisch;;;;;;;;x;;;
D12;Свободно ассоциированное государство $REGION$;;Die $REGION$-Union;;;;;;;;x;;;
D12_ADJ;Республиканск.;;Unions-;;;;;;;;x;;;
D13;Федерация $REGION$;;Das $REGION$-Kцnigreich;;;;;;;;x;;;
D13_ADJ;Федеральн.;;kцnigstreu;;;;;;;;x;;;
D14;Доминион $REGION$;;Das Dominion von $REGION$;;;;;;;;x;;;
D14_ADJ;Республиканск.;;Dominions-;;;;;;;;x;;;
D15;Великое Герцогство $REGION$;;Das GroЯherzogtum von $REGION$;;;;;;;;x;;;
D15_ADJ;Герцогск.;;groЯherzogstreu;;;;;;;;x;;;
D16;Народная Демократическая Республика $REGION$;;Die $REGION$-Nation;;;;;;;;x;;;
D16_ADJ;Республиканск.;;national;;;;;;;;x;;;
D17;Священый Союз $REGION$;;Die $REGION$-Fцderation;;;;;;;;x;;;
D17_ADJ;Республиканск.;;Fцderations-;;;;;;;;x;;;
D18;Народный Союз $REGION$;;Die Vereinigten Staaten von $REGION$;;;;;;;;x;;;
D18_ADJ;Республиканск.;;Unions-;;;;;;;;x;;;
D19;Демократический союз $REGION$;;Die Demokratische Union von $REGION$;;;;;;;;x;;;
D19_ADJ;Республиканск.;;Unions-;;;;;;;;x;;;
D20;Земля $REGION$;;Das Fьrstentum von $REGION$;;;;;;;;x;;;
D20_ADJ;Республиканск.;;fьrstlich;;;;;;;;x;;;
D21;Светлейшая республика $REGION$;;Die Union von $REGION$;;;;;;;;x;;;
D21_ADJ;Республиканск.;;Unions-;;;;;;;;x;;;
D22;Комунна $REGION$;;Die Demokratische Volksrepublik von $REGION$;;;;;;;;x;;;
D22_ADJ;Республиканск.;;demokratisch-republikanisch;;;;;;;;x;;;
D23;Рабочий Союз $REGION$;;Das $REGION$-Gebiet;;;;;;;;x;;;
D23_ADJ;Республиканск.;;ortsansдssig;;;;;;;;x;;;
D24;Графство $REGION$;;Die Glorreiche Union von $REGION$;;;;;;;;x;;;
D24_ADJ;Графск.;;glorreich;;;;;;;;x;;;
D25;Малое княжество $REGION$;;Das mдchtige Gebiet von $REGION$;;;;;;;;x;;;
D25_ADJ;Княжеск.;;mдchtig;;;;;;;;x;;;
D26;$REGION$;;Der $REGION$-Freistaat;;;;;;;;x;;;
D26_ADJ;Республиканск.;;freistaatlich;;;;;;;;x;;;
D27;$REGION$;;$REGION$-Commonwealth;;;;;;;;x;;;
D27_ADJ;Республиканск.;;Commonwealth-;;;;;;;;x;;;
D28;$REGION$;;Die $REGION$-Konfцderation;;;;;;;;x;;;
D28_ADJ;Республиканск.;;konfцderiert;;;;;;;;x;;;
D29;$REGION$;;Das Freie Volk von $REGION$;;;;;;;;x;;;
D29_ADJ;Республиканск.;;frei;;;;;;;;x;;;
D30;$REGION$;;Die $REGION$-Republik;;;;;;;;x;;;
D30_ADJ;Республиканск.;;republikanisch;;;;;;;;x;;;
D31;$REGION$;;Die Heilige Union von $REGION$;;;;;;;;x;;;
D31_ADJ;Республиканск.;;zelotisch;;;;;;;;x;;;
D32;$REGION$;;Die Volks-Union von $REGION$;;;;;;;;x;;;
D32_ADJ;Республиканск.;;Unions-;;;;;;;;x;;;
D33;$REGION$;;Die Fцderationsstaaten von $REGION$;;;;;;;;x;;;
D33_ADJ;Республиканск.;;Fцderations-;;;;;;;;x;;;
D34; $REGION$;;Der $REGION$-Fцderationsstaat;;;;;;;;x;;;
D34_ADJ;Республиканск.;;Fцderations-;;;;;;;;x;;;
D35;$REGION$;;Die $REGION$-Konfцderation;;;;;;;;x;;;
D35_ADJ;Республиканск.;;konfцderiert;;;;;;;;x;;;
D36;$REGION$;;Die $REGION$-Fцderation;;;;;;;;x;;;
D36_ADJ;Республиканск.;;Fцderations-;;;;;;;;x;;;
D37;$REGION$;;Die Fromme Union von $REGION$;;;;;;;;x;;;
D37_ADJ;Республиканск.;;fromm;;;;;;;;x;;;
D38;$REGION$;;$REGION$-Land;;;;;;;;x;;;
D38_ADJ;Республиканск.;;Landes-;;;;;;;;x;;;
D39;$REGION$;;Die Republik der Ruhe von $REGION$;;;;;;;;x;;;
D39_ADJ;Республиканск.;;ruhig;;;;;;;;x;;;
D40;$REGION$;;Das Geheime Kцnigreich von $REGION$;;;;;;;;x;;;
D40_ADJ;Республиканск.;;geheim;;;;;;;;x;;;
D41;$REGION$;;Die Kommune von $REGION$;;;;;;;;x;;;
D41_ADJ;Республиканск.;;kommunistisch;;;;;;;;x;;;
D42;$REGION$;;Die $REGION$-Kommune;;;;;;;;x;;;
D42_ADJ;Республиканск.;;kommunistisch;;;;;;;;x;;;
D43;$REGION$;;Die Arbeiter-Union von $REGION$;;;;;;;;x;;;
D43_ADJ;Республиканск.;;Arbeiter-;;;;;;;;x;;;
D44;$REGION$;;Die Landgrafschaft von $REGION$;;;;;;;;x;;;
D44_ADJ;Республиканск.;;landgrafschaftlich;;;;;;;;x;;;
D45;$REGION$;;Die Nation von $REGION$;;;;;;;;x;;;
D45_ADJ;Республиканск.;;national;;;;;;;;x;;;
D46;$REGION$;;Die Heilige Region von $REGION$;;;;;;;;x;;;
D46_ADJ;Республиканск.;;zelotisch;;;;;;;;x;;;
D47;$REGION$ ;;Das $REGION$-Dominion;;;;;;;;x;;;
D47_ADJ;Республиканск.;;beherrschend;;;;;;;;x;;;
D48;$REGION$;;Der Volksstaat von $REGION$;;;;;;;;x;;;
D48_ADJ;Республиканск.;;vцlkisch;;;;;;;;x;;;
D49;$REGION$;;Das Hohe Kцnigreich von $REGION$;;;;;;;;x;;;
D49_ADJ;Республиканск.;;hochkцniglich;;;;;;;;x;;;
D50;$REGION$;;Das Kleinere Fьrstentum von $REGION$;;;;;;;;x;;;
D50_ADJ;Республиканск.;;fьrstlich;;;;;;;;x;;;
dominion_conservative;Консервативная партия;;Die Konservative Partei;;;;;;;;x;;;
dominion_reactionary;Старая гвардия;;Die Alte Garde;;;;;;;;x;;;
dominion_liberal;Либеральная партия;;Die Liberale Partei;;;;;;;;x;;;
dominion_anarcho_liberal;Партия свободы;;Die Freiheitspartei;;;;;;;;x;;;
dominion_socialist;Социалистическая партия;;Die Sozialistische Partei;;;;;;;;x;;;
dominion_communist;Коммунистическая партия;;Die Kommunistische Partei;;;;;;;;x;;;
dominion_fascist;Имперская партия;;Die Imperiale Partei;;;;;;;;x;;;
PW_UPGRADE_TO_COLONY;Нажмите, чтобы улучшить колонию. Вам необходимо §Y$VALUE$§! Колониальных очков чтобы сделать это.;;Klickt, um eine Kolonie zu konvertieren und aufzuwerten. Ihr benцtigt §Y$VALUE$§! verfьgbare Kolonialmacht, um dies tun zu kцnnen.;;;;;;;;x;;;
PW_CANT_UPGRADE_TO_COLONY;Улучшение колонии обойдется в §R$VALUE$§! колониальных очков.;;Die Aufwertung zur Kolonie kostet §R$VALUE$§! Punkte Kolonialmacht.;;;;;;;;x;;;
PW_CANT_UPGRADE_TO_STATE;Превращение в полноценный регион обойдется §R$VALUE$§! колониальных очков.;;Die Einfьhrung als Staat kostet §R$VALUE$§! Punkte Kolonialmacht.;;;;;;;;x;;;
CREATE_DOMINION;Создать доминион;;Dominion entlassen;;;;;;;;x;;;
CANT_CREATE_PROTECTORATE_COST;Вам нужно §R$VALUE$§! Колониальных очков чтобы создать протекторат.;;Ihr benцtigt  §R$VALUE$§! verfьgbare Kolonialmacht-Punkte, um ein Protektorat zu erschaffen.;;;;;;;;x;;;
torpedo_attacks_desc;Торпеда является самодвижущимся оружием с фугасной боеголовкой, запускаемым над водой или под ее поверхностью. Движущиеся под водой, торпеды детонируют при контакте с целью, либо в непосредсвенной близости от нее. Запущенная с маленького судна торпеда может быть смертельно опасна даже для самых крупных военных кораблей.;;Ein Torpedo ist eine Waffe mit Eigenantrieb mit einem explosiven Sprengkopf, die ьber oder unter Wasser abgefeuert werden kann und unter Wasser auf ein Ziel zuschieЯt. Sie explodiert entweder bei Kontakt mit dem Ziel oder in unmittelbarer Nдhe. Diese von einem kleinen Schiff abfeuerbare Waffe kann selbst fьr die grцЯten Kampfschiffe tцdlich sein.;;;;;;;;x;;;
