KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
news1;Правительство державы $TAG_2_0$ предложило перемирие на следующих условиях : $STRING_0_1$;;Die Regierung von $TAG_2_0$ bot unter folgenden Bedingungen Frieden an: $STRING_0_1$;;;;;;;;;;;x
battle_we_win_title_large;БЛЕСТЯЩАЯ ПОБЕДА В  $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_large;$DATE_LONG_0$ наша непобедимая армия снова одержала победу в $STRING_0_3$! $VALUE_INT_0_1$ наших людей храбро сражались с $VALUE_INT_0_3$ ;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Mдnner gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben lieЯen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getцtet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x
battle_we_win_title_medium;Победа в  $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_medium;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$  в  $STRING_0_3$, ценой $VALUE_INT_0_2$ человеческих жизней.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x
battle_we_win_title_small;Победа!;;Sieg!;;;;;;;;;;;x
battle_we_win_small;$DATE_LONG_0$ мы победили $VALUE_INT_0_3$ солдат державы $TAG_0_3_ADJ$  в  $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x
battle_we_lose_title_large;ВОЕННАЯ ОШИБКА ПРИВОДИТ К КАТАСТРОФЕ В $STRING_0_3$!;;MILITДRISCHER PATZER FЬHRT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_lose_large;$DATE_LONG_0$ некомпетентное командование опрометчиво отправило $VALUE_INT_0_4$ наших храбрых солдат на смерть в  $STRING_0_3$ ;;Am $DATE_LONG_0$ sendete unser unfдhiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Fьhrung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere groЯe Sorge ьber die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureiЯen, bevor es zu spдt ist!;;;;;;;;;;;x
battle_we_lose_title_medium;Поражение в $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_medium;$DATE_LONG_0$ мы проиграли битву в  $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и  $TAG_0_2$ теперь контролирует эту территорию.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Mдnner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
battle_we_lose_title_small;Катастрофа в $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_small;$DATE_LONG_0$ мы проиграли битву в $STRING_0_3$, потеряли $VALUE_INT_0_4$ жизней и  $TAG_0_2$ теперь контролирует эту территорию.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Mдnner und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ СДАЕТСЯ!;;$TAG_3_0_UPPER$ GIBT AUF!;;;;;;;;;;;x
gwar_we_win_large_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашей великой победой. Война, известная как $STRING_0_0$, началась $DATE_SHORT_0$ и длилась до $STRING_9_0$, результатом стало $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der GroЯe Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wьtete von $DATE_SHORT_0$ ьber $STRING_9_0$, an dessen Ende das Ergebis feststand: $STRINGS_LIST_4$.;;;;;;;;;;;x
gwar_we_win_medium_title;ПОДПИСАНО ПЕРЕМИРИЕ!\n ПОБЕДА!;;WAFFENRUHE UNTERZEICHNET!\n SIEG!;;;;;;;;;;;x
gwar_we_win_medium_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашей великой победой. Война, известная как $STRING_0_0$, началась $DATE_SHORT_0$ и длилась до $STRING_9_0$;;Am $DATE_LONG_1$ endete der GroЯe Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wьtete von $DATE_SHORT_0$ ьber $STRING_9_0$.;;;;;;;;;;;x
gwar_we_win_small_title;Победа над державой $TAG_3_0$!;;Sieg ьber $TAG_3_0$!;;;;;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$ закончилась поражением $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x
gwar_we_lose_large_title;ДЕНЬ ПОЗОРА.\n МИР С ДЕРЖАВОЙ $TAG_2_0_UPPER$ ПОДПИСАН!;;EIN TAG DER SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;;;;;;;;;;x
gwar_we_lose_large_desc;$DATE_LONG_1$ Великая Война против державы $TAG_2_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, и результатом ее стало $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der  Krieg gegen $TAG_2_0$ mit unserer schдndlichen Niederlage. Der Krieg, $STRING_0_0$, wьtete von $DATE_SHORT_0$ ьber $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x
gwar_we_lose_medium_title;ПЕРЕМИРИЕ С ДЕРЖАВОЙ $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;;;;;;;;;;x
gwar_we_lose_medium_desc;$DATE_LONG_1$ Великая Война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, бушевала с $DATE_SHORT_0$ до $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. Der Krieg, bekannt als $STRING_0_0$, wьtete von $DATE_SHORT_0$ ьber $STRING_9_0$.;;;;;;;;;;;x
gwar_we_lose_small_title;Мир с державой $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$ закончилась нашим поражение от рук $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x
war_we_win_large_title;ПОДПИСАНО ПЕРЕМИРИЕ\n $TAG_3_0_UPPER$ СДАЕТСЯ;;WAFFENRUHE!\n $TAG_3_0_UPPER$ GIBT AUF;;;;;;;;;;;x
war_we_win_large_desc;$DATE_LONG_1$  война между $TAG_0_0$ и $TAG_1_0$ закончилась нашей славной победой. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, и результатом стало $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. $STRING_0_0$ wьtete von $DATE_SHORT_0$ ьber $STRING_9_0$, das Ende war $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_win_medium_title;ПЕРЕМИРИЕ ПОДПИСАНО!\n ПОБЕДА!;;WAFFENRUHE!\n SIEG!;;;;;;;;;;;x
war_we_win_medium_desc;$DATE_LONG_1$ война между $TAG_0_0$ и $TAG_1_0$ закончилась нашей славной победой. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. $STRING_0_0$ ging von $DATE_SHORT_0$ ьber $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_win_small_title;Победа над державой $TAG_3_0$!;;Sieg gegen $TAG_3_0$!;;;;;;;;;;;x
war_we_win_small_desc;$STRING_0_0$ закончилась поражением державы $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x
war_we_lose_large_title;ПОЗОРНЫЙ ДЕНЬ.\n МИР С ДЕРЖАВОЙ $TAG_2_0_UPPER$ ПОДПИСАН!;;SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ SPRUCHREIF!;;;;;;;;;;;x
war_we_lose_large_desc;$DATE_LONG_1$ война против $TAG_2_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, результатом стало $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg mit $TAG_2_0$ in schдmlicher Niederlage. $STRING_0_0$ wьtete seit $DATE_SHORT_0$ ьber $STRING_9_0$, das Ergebnis war $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_lose_medium_title;ПОЗОРНЫЙ МИР ПОДПИСАН!;;FRIEDEN UNTERZEICHNET!;;;;;;;;;;;x
war_we_lose_medium_desc;$DATE_LONG_1$, война между державами $TAG_0_0$ и $TAG_1_0$ закончилась нашим позорным поражением. Война, известная как $STRING_0_0$, длилась с $DATE_SHORT_0$ до $STRING_9_0$, держава $TAG_2_0$ стала победителем.;;Am $DATE_LONG_1$ endete der GroЯe Krieg zwischen $TAG_0_0$ und $TAG_1_0$ siegreich fьr uns. Der als $STRING_0_0$ bekannte Krieg dauerte seit $DATE_SHORT_0$ ьber $STRING_9_0$ an und endete mit $TAG_2_0$ als Sieger.;;;;;;;;;;;x
war_we_lose_small_title;Мир с державой $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x
war_we_lose_small_desc;$STRING_0_0$ закончилась нашим поражением от рук державы $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x
rebels_win_small_title;Революция!;;Revolution!;;;;;;;;;;;x
rebels_win_small_desc;$STRING_0_0$ закончилось победой над державой $TAG_0_0$ , это почти разрушило страну, что же  $STRING_0_3$ $STRING_0_4$ будет делать теперь?;;$STRING_0_0$ haben $TAG_0_0$ besiegt und das Land liegt in Trьmmern, was wird $STRING_0_3$ $STRING_0_4$ nun tun?;;;;;;;;;;;x
KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
some_fake_1836_title_1;Опиумная лихорадка!;;Neues vom Opium!;;;;;;;;;;;x
some_fake_1836_1;Китай охватило опиумное безумие, торговцы говорят, что дорога долгая, но оно того стоит.;;Opiumwelle in China, Hдndler sagen, die weite Reise lohnt sich.;;;;;;;;;;;x
some_fake_1836_title_2;Увлечение Эфиром;;Дther-Wahnsinn;;;;;;;;;;;x
some_fake_1836_2;Популярность эфира достигла высшей точки, эксперты же говорят :"Это газ!”.;;Дther immer populдrer, Experten behaupten: “Es ist ein Gas!”;;;;;;;;;;;x
some_fake_1836_title_3;Сладкие сны;;SьЯe Trдume;;;;;;;;;;;x
some_fake_1836_3;Первое использование общей анестезии в операции, хирург в США усыпляет пациента на время удаления опухоли.;;Erster Einsatz von Anдsthesie bei Operation, Arzt in den USA lдЯt Patienten Tumor-Entfernung verschlafen.;;;;;;;;;;;x
some_fake_1836_title_4;Кодовые слова;;Codewцrter;;;;;;;;;;;x
some_fake_1836_4;Первое телеграфное сообщение было отправлено в США Сэмюэлем Морзе.;;Erste elektr. telegrafische Nachricht der Welt von Samuel Morse in den USA gesendet.;;;;;;;;;;;x
some_fake_1836_title_5;Филателисты, радуйтесь!;;Philatelisten jauchzet!;;;;;;;;;;;x
some_fake_1836_5;В Великобритании появилась почтовая марка, называющаяся "Черный Пенни”. На ней изображена молодая королева Виктория.;;"Neue Briefmarke Penny Black"", mit dem Antlitz der jungen Kцnigin Victoria im Vereinigten Kцnigreich im Umlauf.""";;;;;;;;;;;x
some_fake_1836_title_6;Уже в продаже!;;Jetzt neu!;;;;;;;;;;;x
some_fake_1836_6;“Мертвые души”, выпущеннные в России, критики утверждаюст, что книга слишком сложна для понимания.;;“Die Seelen der Toten” aus Russland, Kritiker: zu kompliziert.;;;;;;;;;;;x
some_fake_1836_title_7;Духовой или латунный?;;Holzblдser oder Blech?;;;;;;;;;;;x
some_fake_1836_title_8;Золотая лихорадка!;;Goldrausch!;;;;;;;;;;;x
some_fake_1836_8;В Калифорнии было обнаружено золото. В связи с этим туда начался массовый наплыв золотоискателей!;;Gold in Kalifornien entdeckt, Goldsucher ьberrennen das Land!;;;;;;;;;;;x
some_fake_1836_title_9;Ворон опубликован;;“Der Rabe” verцffentlicht;;;;;;;;;;;x
some_fake_1836_9;Последняя мрачная новелла Алана Эдгара По заставит ваши волосы подняться на затылке.;;Eine dьstere Glanzleistung, Poes neueste Kurzgeschichte sorgt fьr Gдnsehaut.;;;;;;;;;;;x
some_fake_1836_title_10;Пышные женские формы;;Die ьppige Form der Frau;;;;;;;;;;;x
some_fake_1836_10;(Читателю рекомендуется быть осмотрительным) Были обозначены минимальные и максимальные значения обхвата женских талии и бедер. Продолжение на странице 5;;(Explizite Inhalte) Weibliche Taillen und HьftgrцЯen scheinbar so schmal und auch breit wie nie zuvor. Mehr auf Seite 5;;;;;;;;;;;x
some_fake_1836_title_11;Колонка Шеф-редактора:;;Redaktionelles;;;;;;;;;;;x
some_fake_1836_11;Либерализм уничтожит западную цивилизацию. Без сильной власти люди вернутся назад к варварству, чтобы выжить и прокормить своих детей. (смотри стр. 10);;Liberalismus zerstцrt westliche Zivilisation (mehr auf Seite 10)…;;;;;;;;;;;x
some_fake_1850_title_1;Наши предки?;;Unsere Vorfahren?;;;;;;;;;;;x
some_fake_1850_1;Ученые шокированы останками Неандертальца, найденными в Германии.;;Forscher begeistert in Deutschland entdecktem Neandertaler-Fossil.;;;;;;;;;;;x
some_fake_1850_title_2;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1850_2;Проверенное мнение, что животный жир-лучшее средство для смазки оружия. Узнай, как мы это установили (см. стр. 10);;Tierfette perfekt fьr das Einfetten von Patronenhьlsen (siehe Seite 10)…;;;;;;;;;;;x
some_fake_1850_title_3;Каналы в упадке;;Kanдle zerfallen;;;;;;;;;;;x
some_fake_1850_3;Система каналов, когда-то бывшая гордостью нашего народа, близка к разрушению. Что можно сделать? Продолжение на странице 4.;;Einstmals stolzes Kanalsystem unserer Nation zerfдllt rapide. Was kann man tun? Weiter auf Seite 4;;;;;;;;;;;x
some_fake_1860_title_1;Линкольн убит;;Anschlag auf Lincoln;;;;;;;;;;;x
some_fake_1860_1;Авраам Линкольн убит в театре Форда Джоном Уилкисом Бутом. Застрелен с близкого расстояния.;;Abraham Lincoln in Ford's Theatre von John Wilkes Booth ermordet, Todesschuss aus kurzer Distanz.;;;;;;;;;;;x
some_fake_1860_title_2;Линкольн в порядке;;Lincoln wohlauf;;;;;;;;;;;x
some_fake_1860_2;Неудавшаяся попытка убийства Авраама Линкольна. Президент сбрасывает нападавшего с балкона в театре Форда.;;Attentat auf Abraham Lincoln durch John Wilkes Booth fehlgeschlagen, Prдsident stцЯt Attentдter vom Balkon im Ford's Theatre.;;;;;;;;;;;x
some_fake_1860_title_3;Неспортивный;;Unsportlich;;;;;;;;;;;x
some_fake_1860_3;Военные субмарины были признанны нечестным вооружением и их использование бессрочно запрещено.;;"Militдrisches U-Boot erfunden, weltweit als “unfair eingestuft und fьr alle Zeiten verboten.""";;;;;;;;;;;x
some_fake_1860_title_4;Здравоохраниение;;Gesundheitswesen;;;;;;;;;;;x
some_fake_1860_4;Флоренс Найтингейл основывает школу для медсестер в больнице Святого Томаса в Лондоне.;;Florence Nightingale grьndet Schwesternschule am St Thomas' Hospital, London.;;;;;;;;;;;x
some_fake_1860_title_5;Элементы упорядоченны;;Elemente geordnet;;;;;;;;;;;x
some_fake_1860_5;Дмитрий Менделеев изобрел периодическую систему, где упорядочены  все 56 известных элементов.;;Dmitri Mendeleev erfindet Periodensystem, alle 56 Elemente aufgelistet.;;;;;;;;;;;x
some_fake_1860_title_6;Увлечение ездой;;Rad-Trend nimmt zu;;;;;;;;;;;x
some_fake_1860_6;Увелечение велосипедной ездой охватывает запад, велосипед - обязательное имущество!;;Zweirad-Wahn erfasst westl. Welt, Stahlrцsser sind ein Muss!;;;;;;;;;;;x
some_fake_1860_title_7;Ширина на все времена;;Sombreros breit wie nie;;;;;;;;;;;x
some_fake_1860_7;Сообщено, что средняя ширина сомбреро бандита в Мексике выросла до невероятных 57 дюймов.;;Laut Meldungen ist die durchschnittl. Sombrero-Breite von Banditen in Mexiko auf unglaubliche 56 Zoll angewachsen.;;;;;;;;;;;x
some_fake_1860_title_8;Созданны пожарные части;;Brandwache eingerichtet;;;;;;;;;;;x
some_fake_1860_8;Это ново, но это хорошо;;Neu und unglaublich gut.;;;;;;;;;;;x
some_fake_1860_title_9;Футбол набирает популярность;;FuЯball immer beliebter;;;;;;;;;;;x
some_fake_1860_9;Посещаемость футбольных матчей очень выросла в последнее время, доказана их популярность у рабочих и низшего класса.;;Besucherzahlen im Vereins-FuЯballsport wachsen, Spektakel besonders beliebt bei Arbeitern und Erwerbslosen.;;;;;;;;;;;x
some_fake_1860_title_10;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1860_10;Опасайтесь женщин бисексуалок. Женщины в открытых машинах, юбки небрежно развеваются на ветру, лодыжки у всех на виду, так легко поддаться безумию. (стр. 10);;Vorsicht vor weiblicher Rad-Amazone (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1860_title_11;Помпеи и Геркуланум снова при жизни;;Pompeji und Herculaneum offengelegt;;;;;;;;;;;x
some_fake_1860_11;Новые методы раскопок позволят вернуться в мир городов, разрушенных извержением Везувия в 79 году н.э.;;Neue Ausgrabungsmethoden bringen die 79 AD vom Vesuv zerstцrten Stдdte der Welt zurьck.;;;;;;;;;;;x
some_fake_1870_title_1;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1870_1;Африканские народы жаждут нашего управления. Подобно тому, как ирландцы приветствовали британское господство, черная раса не откажется от направляющей руки белых. (стр. 10);;Rьckstдndige Vцlker Afrikas ersehnen unsere gьtige Fьhrung (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1870_title_2;Литература:;;Literatur:;;;;;;;;;;;x
some_fake_1870_2;Вокруг Света за 80 дней, отзывы для наших читателей.;;Um die Welt in 80 Tagen, fьr LesespaЯ und Bildung unserer Leser rezensiert.;;;;;;;;;;;x
some_fake_1870_title_3;Обмороки из-за корсета;;Ohnmacht durch Korsett;;;;;;;;;;;x
some_fake_1870_3;Небывало высокий уровень! В очередной раз больницы нашей страны заполнены жертвами чрезмерного затягивания корсета.;;Rekordzahlen! Erneut werden die Bдder, Hospitдle und Chaiselongues von Opfern zu eng geschnьrter Korsetts ьberrannt.;;;;;;;;;;;x
some_fake_1880_title_1;Воздушно-десантные успехи!;;Erfolge der Luftfahrt!;;;;;;;;;;;x
some_fake_1880_1;La France, французский военный дирижабль, становится первым электрифицированным дирижаблем, способным на кругосветный перелет.;;"Franz. Militдr-Luftschiff La France"" erstes Luftschiff mit Motorantrieb auf erfolgreicher Rundfahrt.""";;;;;;;;;;;x
some_fake_1880_title_2;Высотные здания;;Hochhдuser;;;;;;;;;;;x
some_fake_1880_2;Небоскребы в Америке, массивные стальные гиганты. ;;“Sky-Scraper” in Amerika, massive stahl-ummantelte Hochhдuser ьberragen ihre Umgebung.;;;;;;;;;;;x
some_fake_1880_title_3;Монетный двор джулепы спасен!;;Mint Julep gerettet!;;;;;;;;;;;x
some_fake_1880_3;С. Марвин Стоун (США)  изобретает соломинку.;;Marvin C. Stone, USA, erfindet den “Strohhalm”.;;;;;;;;;;;x
some_fake_1880_title_4;Ничто не может пойти не так ;;Da kann nichts schiefgehen;;;;;;;;;;;x
some_fake_1880_4;Лекарство от морфиевой зависимости обнаружено в США!;;Heilung fьr Morphium-Sucht in USA entdeckt: Koka-Wein!;;;;;;;;;;;x
some_fake_1880_title_5;Бисмарк подает в отставку;;Bismarck tritt zurьck;;;;;;;;;;;x
some_fake_1880_5;Бисмарк покидает пост канцлера Германии, немецкая машина осталась без пилота.;;Bismarck tritt als Kanzler Deutschlands zurьck, Schiff des Staates ohne Kapitдn.;;;;;;;;;;;x
some_fake_1880_title_6;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1880_6;Социализм уничтожит западную цивилизацию. Она хочет расширить возможности рабочего класса, позволяет им поверить, что они так же хороши и достойны, как богатые. Нелепица! (стр. 10);;Sozialismus wird westliche Zivilisation zerstцren (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1880_title_7;Должно ли американское правительство действовать?;;Sollte die Regierung Amerikas handeln?;;;;;;;;;;;x
some_fake_1880_7;Линчевание представителей негритянской расы стало обычным явлением в самом сердце Америки. Редакция этого издания спрашивает: Должно ли государство вмешаться, чтобы прекратить это?;;Lynchmorde unter den Schwarzen nehmen in den mittleren Staaten Amerikas zu. Wir stellen die Frage: Sollte der Staat eingreifen und dem ein Ende setzen?;;;;;;;;;;;x
some_fake_1890_title_1;Вверх!;;Abheben!;;;;;;;;;;;x
some_fake_1890_1;Ader Eole, воздушный корабль с паровым двигателем, делает короткие перелеты недалеко от Парижа.;;Die Ader Eole, ein dampfgetriebenes Gefдhrt schwerer als Luft, absolviert kurzen Flug nahe Paris.;;;;;;;;;;;x
some_fake_1890_title_2;Успешный полет!;;Erfolgreicher Flug!;;;;;;;;;;;x
some_fake_1890_2; Derwitzer Glider становится первым успешно пилотируемым самолетом в мире, полет которого возможен на расстояние около 80 фунтов. ;;Derwitzer Glider wird erstes erfolgreiches, bemanntes Fluggerдt der Welt und ьberwindet bis zu 80 FuЯ Distanz bei Derwitz in Brandenburg.;;;;;;;;;;;x
some_fake_1890_title_3;Двигающиеся картинки!;;Bewegte Bilder!;;;;;;;;;;;x
some_fake_1890_3;Кинетоскоп поражает зрителей, показывая движущиеся изображения в Бруклинском институте искусств и наук.;;Kinetoskop beeindruckt Publikum im Brooklyn Insitute of Arts and Sciences mit bewegten Bildern.;;;;;;;;;;;x
some_fake_1890_title_4;Ура! Поколение 90-ых;;Hurra! Hier sind die wilden 90er;;;;;;;;;;;x
some_fake_1890_4;"Времени веселее, чем сейчас, конечно, никогда не было и никогда больше не будет", редакция почтительно предлагает фразу парни 90-х годов внести в наш повседневный лексикон.;;Eine wildere Zeit als diese hat es noch nie gegeben und wird es wohl nie wieder geben. Wir schlagen daher vor, den Begriff “Die Wilden 90er” ins Lexikon aufzunehmen.;;;;;;;;;;;x
some_fake_1890_title_5;Сможет ли человек когда-нибудь летать?;;Kann der Mensch eines Tages fliegen?;;;;;;;;;;;x
some_fake_1890_5;Среди людей ходят слухи, они мечтают, что однажды человек сможет воспарить в небо с помощью механических приспособлений.;;Landesweit hoffen Trдumer, dass der Mensch eines Tages mithilfe mechanischer Gerдte den Himmel erobern wird.;;;;;;;;;;;x
some_fake_1890_title_6;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1890_6;"Если бы Он пожелал, чтобы человек летал, он дал бы нам крылья" - комментарий, данный владельцем корабля и основным акционером этой газеты Чарльзом O'Лигархом. (см. стр. 10.);;Wenn Gott wollte, das wir fliegen, hдtte er uns Flьgel gegeben (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1890_title_7;Прежде всего, не с того конца;;Falsches Ende gibt Ton an;;;;;;;;;;;x
some_fake_1890_7;Известных палеонтолог Г.Ч. Марш показал сегодня, что знаменитый Elasmosaurus собран профессором Коупом, по сути, имеет голову, надетую на хвост. Профессор отказался давать какие-либо комментарии.;;Angesehener Palдontologe O.C. Marsh enhьllt, dass der von Professor Cope zusammengesetzte Elasmosaurus seinen Kopf am Schwanz befestigt hat. Cope war nicht fьr einen Kommentar zu erreichen.;;;;;;;;;;;x
some_fake_1900_title_1;Легче воздуха;;Leichter als Luft;;;;;;;;;;;x
some_fake_1900_1;Первый полет дирижабля произошел на Боденском озеро вблизи Фридрихсхафена, Германия.;;Der erste Zeppelinflug  ьber dem Bodensee in Deutschland, nahe Friedrichshafen.;;;;;;;;;;;x
some_fake_1900_title_2;Катастрофа!;;Desaster!;;;;;;;;;;;x
some_fake_1900_2;Мощный ураган прокатился по Галвестону, штат Техас, США и убил около 8000 человек;;Zerstцrerischer Orkan trifft Galveston, Texas, USA und tцtet 8.000 Menschen.;;;;;;;;;;;x
some_fake_1900_title_3;Катастрофа!;;Desaster!;;;;;;;;;;;x
