KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
some_fake_1900_3;На Мартинике началось извержение вулкана Мон-Пеле, разрушен город Сен-Пьер и погибло более 30 000.;;Mount Pelйe in Martinique ausgebrochen, Stadt Saint-Pierre vollstдndig zerstцrt, ьber 30.000 Tote.;;;;;;;;;;;x
some_fake_1900_title_4;Катастрофа!;;Desaster!;;;;;;;;;;;x
some_fake_1900_4;Извержение Везувия опустошило Неаполь!;;Der Vesuv ist ausgebrochen, Neapel in Schutt und Asche.;;;;;;;;;;;x
some_fake_1900_title_6;Катастрофа!;;Desaster!;;;;;;;;;;;x
some_fake_1900_6;Землетрясение и цунами обрушились на Мессины и Калабрии на Сицилии, убив более 70 000 человек.;;Erdbeben und Tsunami treffen Messina unnd Kalabrien in Sizilien, mehr als 70.000 tot.;;;;;;;;;;;x
some_fake_1900_title_7;Капитан;;Der Hauptmann von Kцpenick;;;;;;;;;;;x
some_fake_1900_7;Самозванцу под видом немецкого офицера удалось обмануть солдат в Берлине и украсть более 4000 марок из-за недочетов бухгалтерии. У него была квитанция.;;Hochstapler gibt sich als deutscher Militдroffizier aus, trickst Soldaten in Berlin aus und stiehlt mehr als 4000 Mark wegen angeblich falscher Buchfьhrung. Er gab eine Quittung.;;;;;;;;;;;x
some_fake_1910_title_1;Катастрофа!;;Desaster!;;;;;;;;;;;x
some_fake_1910_1;Титаник, самый большой корабль, когда-либо построенный человеком, затонул после столкновения с айсбергом в Северной Атлантике во время своего первого рейса, более 1500 человек погибли в результате этого столкновения.;;RMS Titanic, grцЯtes jemals gebautes Schiff, nach ZusammenstoЯ mit Eisberg auf ihrer Jungfernfahrt im Nord-Atlantik gesunken. Mehr als 1.500 Tote erwartet.;;;;;;;;;;;x
some_fake_1910_title_2;Катастрофа!;;Desaster!;;;;;;;;;;;x
some_fake_1910_2;В Нидерландах, из-за шторма в Северном Море, затоплены низменности. 10 000 человек считаются погибшими.;;Sturm ьber der Nordsee setzt Holland unter Wasser, 10.000 Tote erwartet.;;;;;;;;;;;x
some_fake_1910_title_3;Открытие!;;Entdeckung!;;;;;;;;;;;x
some_fake_1910_3;Хирам Бингхэм открыл Мачу-Пикчу, ранее неизвестный город инков.;;Hiram Bingham entdeckt Machu Pichu wieder, eine vormals unbekannte Inka-Stadt.;;;;;;;;;;;x
some_fake_1910_title_4;Курильщики, радуйтесь!;;Raucher frohlocket!;;;;;;;;;;;x
some_fake_1910_4;Гидеон Сундбэк запатентовал молнию!;;Gideon Sundback erfindet ReiЯverschluss.;;;;;;;;;;;x
some_fake_1910_title_5;Завтрак остается.;;Frьhstьck gesichert;;;;;;;;;;;x
some_fake_1910_5;Чарльз Страйт изобретает приспособление для жарки хлеба - тостер.;;Charles Strite erfindet den Brotrцster.;;;;;;;;;;;x
some_fake_1910_title_6;Континентальный дрейф предполагается ;;Kontinentaldrift angenommen;;;;;;;;;;;x
some_fake_1910_6;Альфред Вегенер, видный немецкий ученый, выдвинул теорию, что континенты, на которых мы живем, могут свободно смещаться по поверхности Земли.;;Bekannter deutscher Wissenschaftler Alfred Wegener entwickelt Theorie, dass die Kontinente, auf denen wir wandeln, auf der Erdoberflдche schwimmen kцnnten.;;;;;;;;;;;x
some_fake_1910_title_7;Общая теория относительности;;Relativitдtstheorie;;;;;;;;;;;x
some_fake_1910_7;Альберт Эйнштейн опубликовал свою теорию относительности, запутаннй и сложный набор формул, который стремится объяснить отношения между пространством, временем, гравитацией и множество других сил.;;Albert Einstein verцffentlicht Relativitдtstheorie, eine verwirrende und komplexe Formelsammlung, die Zusammenhдnge in Raum, Zeit, Schwerkraft und einer Vielzahl anderer Krдfte erklдren soll.;;;;;;;;;;;x
some_fake_1910_title_8;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1910_8;Феминизм уничтожит западную  цивилизацию. Равенство полов порочно, ни один цивилизованный человек не допустит такой мысли. К чему может привести феминизм? (стр. 10);;Der Feminismus wird westl. Zivilisation zerstцren (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1910_title_9;Бесплатно внутри:;;Kostenlose Beilage:;;;;;;;;;;;x
some_fake_1910_9;Кроссворд-головоломка, причудливое времяпрепровождение, которое позволит читателю продемонстрировать смекалку и прозорливость.;;Ein 'Kreuzwort-Rдtsel', ein netter Zeitvertreib, mit dem unsere Leser ihren Scharfsinn demonstrieren kцnnen.;;;;;;;;;;;x
some_fake_1910_title_10;Споры: конец Шерлока Холмса;;Kontroverse zum Ende von Sherlock Holmes;;;;;;;;;;;x
some_fake_1910_10;После массивных выступлений фанатов против горькой смерти знаменитого сыщика, автор сэр Артур Конан Дойл решает вернуть его из мертвых, предоставление разъяснений и закрытие.;;Nach massivem Aufschrei der Fans zum bittersьЯen Ende des berьhmten Detektivs, entschlieЯt sich Sir Arthur Conan Doyle ihn wiederzubeleben und verspricht Klarheit und Abschluss.;;;;;;;;;;;x
some_fake_1920_title_1;Запись полета;;Flugrekord;;;;;;;;;;;x
some_fake_1920_1;Чарльз Линдберг стал первым человеком, самостоятельно перелетевшим через Атлантический океан (20-21 мая 1927), это был беспосадочный перелет из Нью-Йорка в Париж.;;Charles Lindbergh ьberfliegt als erster Mann solo und nonstop den Atlantischen Ozean von New York nach Paris (20.-21. Mai 1927);;;;;;;;;;;x
some_fake_1920_title_2;К звездам!;;Zu den Sternen!;;;;;;;;;;;x
some_fake_1920_2;Первый в мире полет на  ракете Роберта Годдарда.;;Weltweit erster Raketenflug mit Flьssigtreibstoff von Robert Goddard.;;;;;;;;;;;x
some_fake_1920_title_3;Конец бородам?;;Das Ende der Bдrte?;;;;;;;;;;;x
some_fake_1920_3;Первая электрическая бритва запатентована американским производителем, полковником Джейкобом Шиком.;;Erster elektr. Rasierer vom amerikanischen Hersteller Col. Jacob Schick patentiert.;;;;;;;;;;;x
some_fake_1920_title_4;Будущее музыки;;Zukunftsmusik;;;;;;;;;;;x
some_fake_1920_4;Первый Музыкальные автомат с возможностью выбора введен Автоматизированной Компанией Музыкальных инструментов.;;Erster Musikautomat mit Musikwahl von Automated Musical Instrument Company vorgestellt.;;;;;;;;;;;x
some_fake_1920_title_5;Мы не знаем почему;;Wir wissen nicht warum;;;;;;;;;;;x
some_fake_1920_5;Волна сокращений проносится по Западному миру.;;Pfahlsitzen-Marotte erobert westl. Welt.;;;;;;;;;;;x
some_fake_1920_title_6;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1920_6;"Телевидение действительно уничтожит западную цивилизацию. Сегодня бездушные куклы, завтра ужасающие пьяные и похотливые люди за двадцать?" (см. стр. 10).;;Fernseher werden westliche Zivilisation vernichten (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1920_title_7;Колонка Шеф-редактора:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1920_7;Джаз уничтожит западную цивилизацию. Никогда еще в истории музыки не было такого развращающего ритма. Музыке джунглей нет места в нашем цивилизованном обществе (стр. 10) ;;Jazz wird westl. Zivilisation vernichten (weiter auf Seite 10);;;;;;;;;;;x
some_fake_1920_title_8;Невероятное увлечение джазом!;;Der Jazz-Wahn!;;;;;;;;;;;x
some_fake_1920_8;Новая мода пробудила страстное влечение людей к новой музыке. Неистовый танец, поощрение распущенности и смешение рас являются побочными продуктами этого далеко неправильного музыкального жанра.;;Musikliebhaber von neuer Marotte erfasst: Frenetische Tдnze, Zuchtlosigkeit und Rassenvermischung sind Nebenprodukte dieser falschen Musikform.;;;;;;;;;;;x
some_fake_1920_title_9;Литературный дайджест: Улисс;;Literatur-Ьbersicht: Ulysees;;;;;;;;;;;x
some_fake_1920_9;Написанная ирландским человеком с неплохой репутацией Джеймсом Джойсом, "Улисс" описывает один день из жизни главного героя. Он живет в Дублине, в нормальном режиме, изо всех сил ... (Продолжение на стр. 19);;Bekannter Ire James Joyce beschreibt in Ulysees einen Tag im Leben eines Protagonisten in Dublin und seinen Widrigkeiten (mehr auf Seite 19);;;;;;;;;;;x
some_fake_1920_title_10;В Египет!;;Auf nach Дgypten!;;;;;;;;;;;x
some_fake_1920_10;Поразительное археологическое открытие произошло сегодня в районе Нила, международная непреодолимая тяга к восточной ... (Продолжение на стр. 2);;Weitere erstaunliche, archдologische Entdeckungen in der Nil-Region befeuern Faszination mit dem Orientalischen … (weiter auf Seite 2);;;;;;;;;;;x
some_fake_1920_title_11;Баухауз архитектура;;Bauhaus-Architektur;;;;;;;;;;;x
some_fake_1920_11;Футуристический новый художественный стиль архитектуры, известный как Баухауз, можно увидеть в городах Веймар, Берлин и Дессау.;;Futuristischer, neuer Kunst-Architekturstil, bekannt als Bauhaus, erobert die Stдdte Weimar, Berlin und Dessau.;;;;;;;;;;;x
some_fake_1920_title_12;Дуэт чудаков вылвал хаос;;Verrьcktes Duo erzeugt Chaos;;;;;;;;;;;x
some_fake_1920_12;Двое мужчин, один толстый, другой худой, попали в суд в роли обвиняемых из-за общего мелкого вредительства и шутовства. В связи с тяжестью преступления, которое повлекло за собой снос дома, обвинители, как ожидается, будут требовать смертной казни.;;Zwei Mдnner, einer dick, einer dьnn, stehen wegen groben Unfugs und grober Clownerei vor Gericht. Aufgrund der Schwere der Vorwьrfe, die die Zerstцrung eines Hauses und Diebstahl umfassen, wird die Forderung der Todesstrafe durch Anklдger erwartet.;;;;;;;;;;;x
some_fake_ANY_title_1;Собака укусила ребенка.;;Hund beiЯt Kind.;;;;;;;;;;;x
some_fake_ANY_1;Жестокое нападение животного повергает сообщество в шок, родители обеспокоены безопасностью своих  детей.;;Brutale Tierattacken schockieren Gemeinde, Eltern fьrchten um die Sicherheit ihrer Kinder und fordern Taten.;;;;;;;;;;;x
some_fake_ANY_title_2;Глобальное похолодание.;;Globale Abkьhlung.;;;;;;;;;;;x
some_fake_ANY_2;Ученые предупреждают: новый ледниковый период можете начаться, так как температура падает из года в год.;;Forscher warnen vor neuer Eiszeit, da Temperaturen jдhrlich fallen.;;;;;;;;;;;x
some_fake_ANY_title_3;Потерявшийся ребенок найден;;Vermisstes Kind gefunden;;;;;;;;;;;x
some_fake_ANY_3;Он прятался в сарае! Пропавший ребенок найден после усиленного  поиска местными добровольцами, он скрывался в соседнем заброшенном здании.;;Versteckt in einer Scheune! Der Fall eines vermissten Kindes fand gutes Ende, nachdem engagierte Suchmannschaften es in einem nahen, verlassenen Gebдude fanden.;;;;;;;;;;;x
some_fake_ANY_title_5;Девушка зверски убита!;;Maid brutal ermordet;;;;;;;;;;;x
some_fake_ANY_5;Ужасающе изуродованный труп девушки был обнаружена вчера, привязанным к поезду. Рекомендуется быть начеку, разыскивается человек с большими усами, в цилиндре и черном плаще.;;Entsetzlich entstellter Kцrper einer jungen Maid wurde gestern, an Eisenbahnschienen gefesselt, gefunden. Fahndung nach Mann mit Schnauzbart, Zylinder und schwarzem Umhang lдuft.;;;;;;;;;;;x
some_fake_ANY_title_6;Появление кролика из шляпы;;Der Hase aus dem Hut;;;;;;;;;;;x
some_fake_ANY_6;Мужчина, утверждавший, что обладает мистической силой, был замечен запихивающим кролика в шляпу. В настоящее время ведется расследование по подозрению в нечестной практике.;;Ein Mann mit angeblich mystischen Krдften wurde gestern gesehen, als er einen Hasen aus dem Hut zauberte. Untersuchungen mit Verdacht auf unnatьrliche Praktiken im Gange.;;;;;;;;;;;x
some_fake_ANY_title_7;Взгляд в 2000-ный год;;Ein Blick in das Jahr 2000;;;;;;;;;;;x
some_fake_ANY_7;Известный футуролог предоставил своё видение далекого 2000 года во время разговора с нашим корреспондентом, он сказал: "К 2000 году каждый землевладелец будет иметь не менее 5 воздушных шаров".;;Ein bekannter Zukunftsforscher gibt Einblick in das ferne Jahr 2000 A.D. Er sagt: “Im Jahr 2000 besitzt jeder Gentleman wenigstens 5 HeiЯluftballons”.;;;;;;;;;;;x
some_fake_ANY_title_8;Поддельные новости!;;Gefдlschte Nachrichten!;;;;;;;;;;;x
some_fake_ANY_8;Ирландец, поляк и пруссы были арестованы вчера в рамках проводимого расследования. Они  придумывали новости и представляли их как достоверные.;;Festnahmen gegen einen Iren, Polen und PreuЯen im Rahmen der Untersuchung einer Schattenorganisation, die der Erstellung falscher Nachrichten und deren Verkauf als Fakten verdдchtigt werden.;;;;;;;;;;;x
some_fake_ANY_title_9;12 жертв!;;12 aufgespieЯt!;;;;;;;;;;;x
some_fake_ANY_9;Вчера разъяренный бык забодал до смерти пятерых мужчин и семерых женщин, хотя ранее за ним агрессии не наблюдалось.  Животное было обезглавлено случайно оказавшимся рядом трубочистом. ;;Wьtender Bulle tцtete gestern 5 Mдnner und 7 Frauen. Das vormals als sanft bekannte Tier wurde von einem vorbeikommendem Schornsteinfeger enthauptet.;;;;;;;;;;;x
some_fake_ANY_title_10;Обрушение моста!;;Brьcke eingestьrzt!;;;;;;;;;;;x
some_fake_ANY_10;Происшествие унесло жизнь мясника, жившего в пригороде столицы. При жизни он имел сомнительную репутацию и оставил после себя брата - пекаря, и сына, который производит и продает свечи.;;Ein Metzger wurde auЯerhalb unserer Hauptstadt in den Tod gerissen. Der lokal bekannte Metzger hinterlдsst seinen Bruder, einen Bдcker und einen Sohn, der Kerzenhalter herstellt und verkauft.;;;;;;;;;;;x
some_fake_ANY_title_11;Тишина на Балканах.;;Ruhe im Balkan;;;;;;;;;;;x
some_fake_ANY_11;Сербы, хорваты, боснийцы, турки, болгары, румыны, албанцы и греки собрались в минувшее воскресенье, чтобы отметить долгий мир, которой держится в данный момент на Балканах.;;Serben, Kroaten, Bosnier, Tьrken, Bulgaren, Rumдnen, Albaner und Griechen feierten letzten Sonntag den groЯen Frieden, der zur Zeit im Balkan herrscht.;;;;;;;;;;;x
some_fake_ANY_title_12;Письмо в редакцию;;Brief an den Herausgeber;;;;;;;;;;;x
some_fake_ANY_12;Читатель обращает внимание на небрежное вождение паромщиков, которые, развивая высокую скорость и совершая безрассудные маневры, подвергают опасности жизни пассажиров;;Ein Leser warnt vor leichtsinnigen Fдhrenkapitдnen, die mit rьcksichtsloser Geschwindigkeit und riskanten Manцvern das Leben ihrer Passagiere riskieren.;;;;;;;;;;;x
some_fake_ANY_title_13;Прогноз погоды:;;Das Wetter;;;;;;;;;;;x
some_fake_ANY_13;Прогноз на следующую неделю: облачно, дождливо, ветер северный и северо-восточный, похолодание.  ;;Aussichten fьr nдchste Woche: Wolkig und Regen, mit Winden aus Nord und Nordost und niedrigen Temperaturen.;;;;;;;;;;;x
some_fake_ANY_title_14;Городской пожар;;Tragisches Feuer in Stadt;;;;;;;;;;;x
some_fake_ANY_14;Пожарных обвинили в недостатке дисциплины и эффективности, так как они позволили огню серьезно распространится, в результате чего мы наблюдали самый серьезный пожар за всю историю города.;;Feuerwache wegen fehlender Disziplin und Effizienz fьr das Ausbreiten eines Feuers ьber mehrere Hдuser verantwortlich gemacht, das zum grцЯten Brand aller Zeiten in der Stadt fьhrte.;;;;;;;;;;;x
some_fake_ANY_title_15;Ограблены рыболовом!;;Angel-Raub;;;;;;;;;;;x
some_fake_ANY_15;В полицию сообщили о грабителе, которому удалось украсть крупную сумму денег прямо из под носа кассира с помощью рыболовного крючка и удочки. Его сообщник в это время отвлекал жертву.;;Die Polizei berichtet vom Raub eines beachtlichen Geldbetrags in lokaler Bank unter Verwendung eines Angelhakens und Stockes, wдhrend Komplize den Kassenbeamten ablenkte.;;;;;;;;;;x;
some_fake_ANY_title_16;Пусть они скачут!;;Lasst sie springen!;;;;;;;;;;;x
some_fake_ANY_16;Заставлять детей вести неподвижный образ жизни нельзя, считают ученые. Активность тела является выражением эмоций в юном возрасте.;;Forscher bezeichnen das Stillsitzen mьssen von Kindern Folter. Ausdauernde Bewegung ist wichtig zum Ausdruck von Freude fьr kleine Kinder und sollte nicht unterdrьckt werden.;;;;;;;;;;;x
some_fake_ANY_title_17;Деревянные тротуары;;Hцlzerne Bьrgersteige;;;;;;;;;;;x
some_fake_ANY_17;Открытые химические процессы позволяют повысить прочность древесины. А что если в городе появятся деревянные тротуары.;;Neue Untersuchung enthьllt chemische Prozesse zur Hдrtung von Holz im Bauwesen. Sollte die Stadt StraЯen mit Holz pflastern?;;;;;;;;;;;x
some_fake_ANY_title_18;Жизнь без еды?;;Leben ohne Nahrung?;;;;;;;;;;;x
some_fake_ANY_18;Человек утверждает, что может воздерживаться от пищи в течении как минимум 30 дней и сохранять физическое и психическое здоровье. Врачи предлложили ему протестировать способности.;;Ein Mann behauptet, 30 Tage ohne Nahrung bei voller kцrperlicher und geistiger Stдrke ьberleben zu kцnnen, und fordert Forscher heraus, ihn zu testen.;;;;;;;;;;;x
some_fake_ANY_title_19;Смертельно опасная лихорадка;;Fatales Fieber;;;;;;;;;;;x
some_fake_ANY_19;Два матроса, вернувшись из тропиков, погибли от неизвестной формы лихорадки. Они до смерти были в бреду, мучались от озноба и жажды.;;Zwei aus den Tropen heimkehrende Seefahrer sind an einem unbekannten Fieber gestorben. Die Symptome reichen von Schьttelfrost ьber extremen Durst bis hin zu Wahnvorstellungen.;;;;;;;;;;;x
some_fake_ANY_title_20;Искусственные алмазы;;Kьnstliche Diamanten;;;;;;;;;;;x
some_fake_ANY_20;Европейскому химику удалось сделать искусственный алмаз, во всех отношениях напоминающий настоящий бриллиант. Пока процесс известен только ему самому.;;Europдischer Chemiker behauptet, mit einem nur ihm bekannten Prozess einen normalen Kristall mit Material ummantelt zu haben, der ihn in allen Aspekten zum Diamanten macht.;;;;;;;;;;;x
some_fake_ANY_title_22;Письмо от Бога;;Brief von Gott;;;;;;;;;;;x
some_fake_ANY_22;Малообеспеченный член общества получил письмо с благотворительностью, помеченное как «от Бога». Он ответил благодарностью за полученные деньги, но предупреждает сотрудников почты не взимать налог с писем, помеченных как «от Бога».;;Ein armes Mitglied unserer Gesellschaft dankt dem Sender eines Almosenbriefes “von Gott” fьr erhaltenes Geld, warnt Sender jedoch vor Steuerforderungen und Briefraub.;;;;;;;;;;;x
some_fake_ANY_title_23;Новости медицины;;Medizin-Neuheiten;;;;;;;;;;;x
some_fake_ANY_23;Лучшие европейские врачи предположили, что заводской дым может быть виновником роста числа дыхательных заболеваний среди детей.;;Fьhrende europдische Дrzte verdдchtigen Rauch aus Fabrikschloten als Ursache fьr Zunahme von Atemstцrungen unter Kindern.;;;;;;;;;;;x
some_fake_ANY_title_24;Вампирская истерия;;Vampir-Hysterie;;;;;;;;;;;x
some_fake_ANY_24;Новая вспышка вампирской истерии произошла в румынских землях. Суеверные крестьяне вышли с чесноком на шее в попытке защититься от гнусных упырей.;;Ein neuer Fall von Vampir-Hysterie in Rumдnien. Aberglдubische Passanten schmieren Nacken mit Knoblauch ein, zum Schutz vor bцsartigen Ghulen.;;;;;;;;;;;x
some_fake_ANY_title_25;Волки загрызли четверых;;Wцlfe tцten vier;;;;;;;;;;;x
some_fake_ANY_25;Стая волков напали на сибирскую деревню на прошлой неделе, и убили четырех человек. Вооруженные полицейские были направлены в этот район, чтобы найти логово зверей.;;Ein Wolfsrudel ьberfiel letzte Woche ein Dorf in Sibirien und tцtete vier Einwohner. Bewaffnete Polizeikrдfte jagen die Bestien.;;;;;;;;;;;x
some_fake_ANY_title_26;Ужасающие куклы;;Schreckliche Puppen;;;;;;;;;;;x
some_fake_ANY_26;Куклы стали общепринятой частью повседневной жизни. Последние страшные мерзости - это улыбающийся деревянный мальчик с фиксированной улыбкой в стиле Бимбо.;;Schreckliche Puppen finden mehr Akzeptanz. Neueste Abartigkeit ist ein debil grinsender Holzjunge im Bimbo-Stil.;;;;;;;;;;;x
some_fake_ANY_title_27;Конкурс пьяниц;;Trinkwettbewerb;;;;;;;;;;;x
some_fake_ANY_27;Ирландец Билл Уилан взял верх над соперниками из России и Шотландии в потреблении алкоголя в Нью-Йорке на прошлой неделе. Он объяснил свою победу «чистой любовью к выпивке на больничной койке».;;Der Ire Bill Whelan schlдgt in New York Rivalen aus Russland und Schottland in einem Alkohol-Trinkwettbewerb. Den Sieg schrieb er vom Krankenbett aus der “Liebe zum Fusel” zu.;;;;;;;;;;;x
some_fake_ANY_title_28;Старейший человек;;Дltester Mann;;;;;;;;;;;x
some_fake_ANY_28;Господин Джимми Уильямс был назван самым старым живым человеком. Уильямс, родившийся в глубоких южноамериканских землях, вежливо попросил журналистов этой статьи не называть  заглавие его именем.;;Der respektierte Gentleman Jimmy Williams wurde zum дltesten lebenden Mann ernannt. Williams, aus dem tiefsten Sьden Amerikas, bat unsere Reporter hцflich, sein Land zu verlassen.;;;;;;;;;;;x
some_fake_ANY_title_29;ОГРАБЛЕНИЕ БАНКА!;;BANKRAUB!;;;;;;;;;;;x
some_fake_ANY_29;Местный банк в провинции «$ANYPROVINCE$» был ограблен бандой людей в масках. Полиция ищет преступников и обещает вознаграждение за любую информацию, связанную с бандитами.;;Lokale Bank in $ANYPROVINCE$ von maskierter Gang ьberfallen. Die Fahndung nach den Kriminellen lдuft, eine Belohnung fьr Informationen, die zur Ergreifung fьhren, wurde ausgesprochen.;;;;;;;;;;;x
some_fake_ANY_title_30;Гастроли кота пианиста;;Klavierkatze auf Tour;;;;;;;;;;;x
some_fake_ANY_30;Известный кот-пианист на этой неделе прибудет в $OURCAPITAL$. Кот сыграет множество классических произведений.;;Die als Klavierkatze berьhmte Katzenpianistin wird diese Woche in $OURCAPITAL$ ankommen. Sie soll eine Reihe klassischer Stьcke spielen.;;;;;;;;;;;x
some_fake_ANY_title_31;Специальные лекции;;Spezial-Vorlesungen;;;;;;;;;;;x
some_fake_ANY_31;Совет науки провинции $OURCAPITAL$ обещает провести лекции о происхождении цивилизации. Специальный показ глиняной посуды из Тира отменяется.;;Der Wissenschaftsrat von $OURCAPITAL$ wird eine Reihe von Spezial-Vorlesungen zu den Ursprьngen der Zivilisation im Fruchtbaren Halbmond halten. Eine Prдsentiation von Tonscherben aus Tyros ist eingeplant.;;;;;;;;;;;x
some_fake_ANY_title_32;Обратите внимание!;;ACHTUNG! ACHTUNG!;;;;;;;;;;;x
some_fake_ANY_32;Приближается мощная буря. Инструкция от чиновников безопасности: не чистить дымоходы во время бури. Если это предупреждение будет проигнорировано, может возникнуть аварийная ситуация.;;Ein Sturm von gigantischem AusmaЯ wird erwartet. Offizielle der цffentlichen Sicherheit raten: Reinigt keine Kamine wдhrend des Sturms, andernfalls drohen Unfдlle.;;;;;;;;;;;x
some_fake_ANY_title_34;Торговый саммит;;Handels-Gipfeltreffen;;;;;;;;;;;x
some_fake_ANY_34;Текущие европейские и международные тарифы, а также практики протекционизма будут обсуждаться в следующий четверг в $OURCAPITAL$.;;Aktuelle europдische und internationale Zцlle und SchutzmaЯnahmen werden nдchsten Donnerstag in $OURCAPITAL$ diskutiert.;;;;;;;;;;;x
some_fake_ANY_title_35;Почтовая конвенция;;Tagung der Post;;;;;;;;;;;x
some_fake_ANY_35;Сегодня власти $OURCOUNTRY_ADJ$ и нескольких других стран собираются, чтобы обсудить почтовые сборы для всех посылок, отправленных за границу.;;$OURCOUNTRY_ADJ$ und auslдndische Offizielle diskutieren heute Postgebьhren fьr Ьberseebriefe.;;;;;;;;;;;x
some_fake_ANY_title_36;Современная торговля углем;;Moderner Kohlehandel;;;;;;;;;;;x
